,NAME,x,y
309,Custer,-114.28171239550548,44.24111637955099
310,Howard,-92.31719890387876,43.35676733637364
311,Palm Beach,-80.43651104836634,26.647564568821068
312,Lincoln,-82.45121280434068,33.7936596460869
313,Butler,-86.68028921535776,31.75243394289441
314,Sumner,-86.4603553658536,36.46940883871547
315,King and Queen,-76.89528246422859,37.718636094521756
316,Carroll,-93.53818110829123,36.3410829938226
317,Waynesboro,-78.90135420957736,38.06741658106913
318,Sitka,-135.3049651194252,57.179775786304816
319,Multnomah,-122.41492283605871,45.546790891154224
320,Grundy,-85.72258239333505,35.388366703968295
321,Hubbard,-94.91662060344584,47.108629801968725
322,Sargent,-97.6307326898178,46.107938298339704
323,St. Lawrence,-75.06895227471469,44.49640214272186
324,Reynolds,-90.96908283371813,37.362326557392976
325,Sacramento,-121.34425381415576,38.449320854693546
326,Paulding,-84.58019455878045,41.11662082960597
327,Wells,-85.22121985756985,40.7291866469068
328,Floyd,-80.3625657302789,36.93160126816414
329,Santa Barbara,-120.03078618302959,34.53834408618391
330,Boone,-81.71121262867013,38.02299659064607
331,Benton,-89.18847548424951,34.81728646043651
332,Crittenden,-88.09722265363294,37.35271526833298
333,Palo Alto,-94.67813707007545,43.08206428688211
334,Ringgold,-94.24397191237951,40.735202299255526
